composer_label,composer_name,title,rating,n_ratings,mxl_rel_path,mxl_abs_path,metadata_rel_path,instrument_names,instrumentation_tags,parts
Bach,Johann Sebastian Bach,J. S. Bach: Little Prelude in C Major BWV 924,4.96,24,15571083/mxl/0/16/QmaDct1x6hnFgV8BFMLGzUKCd7DkNHm96Udwix7AW3pDva.mxl,/Users/victor/JuFo2026/15571083/mxl/0/16/QmaDct1x6hnFgV8BFMLGzUKCd7DkNHm96Udwix7AW3pDva.mxl,./metadata/4/6218623.json,Piano,Solo,1
Bach,J. S. Bach,Bach's chorale harmonisations 241-371 (Breitkopf numbering no text),4.95,20,15571083/mxl/17/35/QmZoWXdZkvuavKpPnFchpZmC6NJZzsfADtE4uzUdH929oU.mxl,/Users/victor/JuFo2026/15571083/mxl/17/35/QmZoWXdZkvuavKpPnFchpZmC6NJZzsfADtE4uzUdH929oU.mxl,./metadata/5/4040211.json,Piano,Solo,1
Bach,J. S. Bach,J. S. Bach - Fugue in C Major BWV 846 WTC 1 (real audio),4.92,22,15571083/mxl/11/27/QmTJYYLf7PaqwbZ4h3tQ4eDnGnX9gG1SBDaKjiixKp2gD2.mxl,/Users/victor/JuFo2026/15571083/mxl/11/27/QmTJYYLf7PaqwbZ4h3tQ4eDnGnX9gG1SBDaKjiixKp2gD2.mxl,./metadata/2/6060970.json,Piano,Solo,1
Bach,Johann Sebastian Bach(1685 - 1750),Prelude No. 2 BWV 847 in C Minor,4.91,9,15571083/mxl/8/31/QmQmxCfft8FrQC5YyRdnucv3SypmxbVBrGDm1WwGwAZeoq.mxl,/Users/victor/JuFo2026/15571083/mxl/8/31/QmQmxCfft8FrQC5YyRdnucv3SypmxbVBrGDm1WwGwAZeoq.mxl,./metadata/8/6113877.json,Piano,Solo,1
Bach,J. S. Bach,Bach's chorale harmonisations 1-120 (Breitkopf numbering no text),4.9,80,15571083/mxl/2/10/QmcAcXxP8kmmTdw8pn8xvHfrb2L5GrCqd5uQ44ETsDXusi.mxl,/Users/victor/JuFo2026/15571083/mxl/2/10/QmcAcXxP8kmmTdw8pn8xvHfrb2L5GrCqd5uQ44ETsDXusi.mxl,./metadata/3/3117011.json,Piano,Solo,1
Bach,Johann Sebastian Bach,Bach Fugue in C-Major (from Toccata Adagio and Fugue in C Major for Organ BWV 564) arr. for piano,4.89,7,15571083/mxl/10/53/QmSXZREKKbbZGL9o7rXGFXub3ZyKFp2ExUaLncjNAdByZX.mxl,/Users/victor/JuFo2026/15571083/mxl/10/53/QmSXZREKKbbZGL9o7rXGFXub3ZyKFp2ExUaLncjNAdByZX.mxl,./metadata/5/4978752.json,Piano,Solo,1
Bach,J. S. Bach,Chorale harmonisations from various vocal works by Bach,4.89,7,15571083/mxl/0/40/QmarstozgAPFGWKQtmATXsmdsBCJ5aytRngSr9harJS2vW.mxl,/Users/victor/JuFo2026/15571083/mxl/0/40/QmarstozgAPFGWKQtmATXsmdsBCJ5aytRngSr9harJS2vW.mxl,./metadata/6/4871322.json,Piano,Solo,1
Bach,J. S. Bach,J. S. Bach - Invention No. 5 in Eb-Major BWV 776 (real audio),4.88,30,15571083/mxl/2/21/QmcgPrR41ikm5Ci6ABVf4r58KCVov3VKepGZTgAnGRCoPD.mxl,/Users/victor/JuFo2026/15571083/mxl/2/21/QmcgPrR41ikm5Ci6ABVf4r58KCVov3VKepGZTgAnGRCoPD.mxl,./metadata/6/5959406.json,Piano,Solo,1
Bach,Johann Sebastian Bach,Bach: Little Prelude in C major BWV 933,4.88,14,15571083/mxl/0/4/Qma58kekAvv9TsecniR4ja9nDEv3GD4os1aDq9r8ZfzvD8.mxl,/Users/victor/JuFo2026/15571083/mxl/0/4/Qma58kekAvv9TsecniR4ja9nDEv3GD4os1aDq9r8ZfzvD8.mxl,./metadata/1/6356226.json,Piano,Solo,1
Bach,Johann Sebastian Bach,Bach Prelude in C-Major (from Toccata Adagio and Fugue in C Major for Organ BWV 564) arr. for piano,4.88,6,15571083/mxl/4/38/QmeqFD5GdewkgSzD8TPnhrwqApfHwqhp54bygLi9A22Wd5.mxl,/Users/victor/JuFo2026/15571083/mxl/4/38/QmeqFD5GdewkgSzD8TPnhrwqApfHwqhp54bygLi9A22Wd5.mxl,./metadata/6/4978754.json,Piano,Solo,1
